"name","index","debut","file_name","old_id","old_group","order","external_path","ps",""
"Bulbasaur","1","2018/3/25","pm1","1","Bulbasaur","","","","image"
"Bulbasaur","2","2019/10/17","pm1.fFALL_2019","1_f19","Bulbasaur_f19","","","","image"
"Bulbasaur","3","2020/2/25","pm1.cJAN_2020_NOEVOLVE","1_11","Bulbasaur_11","","","","image"
"Bulbasaur","4","2020/7/25","pm1.cSPRING_2020_NOEVOLVE","1_14","Bulbasaur_14","","","","image"
"Ivysaur","5","2018/3/25","pm2","2","Bulbasaur","","","","image"
"Venusaur","6","2018/3/25","pm3","3","Bulbasaur","","","","image"
"Venusaur(M)","7","2018/3/25","pm3.fMEGA","3_51","Bulbasaur","","","","image"
"Charmander","8","2018/5/19","pm4","4","Charmander","","","","image"
"Charmander","9","2019/10/17","pm4.fFALL_2019","4_f19","Charmander_f19","","","","image"
"Charmander","10","2020/2/25","pm4.cJAN_2020_NOEVOLVE","4_11","Charmander_11","","","","image"
"Charmeleon","11","2022/7/6","pm5.cJAN_2020_NOEVOLVE","5_11","Charmander_11","","","","image"
"Charizard","12","2022/7/6","pm6.cJAN_2020_NOEVOLVE","6_11","Charmander_11","","","","image"
"Charmander","13","2020/7/25","pm4.cSPRING_2020_NOEVOLVE","4_14","Charmander_14","","","","image"
"Charmeleon","14","2018/5/19","pm5","5","Charmander","","","","image"
"Charizard","15","2018/5/19","pm6","6","Charmander","","","","image"
"Charizard(M-X)","16","2018/5/19","pm6.fMEGA_X","6_51","Charmander","","","","image"
"Charizard(M-Y)","17","2018/5/19","pm6.fMEGA_Y","6_52","Charmander","","","","image"
"Squirtle","18","2018/7/8","pm7","7","Squirtle","","","","image"
"Wartortle","19","2018/7/8","pm8","8","Squirtle","","","","image"
"Blastoise","20","2018/7/8","pm9","9","Squirtle","","","","image"
"Blastoise(M)","21","2018/7/8","pm9.fMEGA","9_51","Squirtle","","","","image"
"Squirtle","22","2018/7/8","pm7.cSUMMER_2018","7_05","Squirtle_05","","","","image"
"Wartortle","23","2018/7/8","pm8.cSUMMER_2018","8_05","Squirtle_05","","","","image"
"Blastoise","24","2018/7/8","pm9.cSUMMER_2018","9_05","Squirtle_05","","","","image"
"Squirtle","25","2019/10/17","pm7.fFALL_2019","7_f19","Squirtle_f19","","","","image"
"Squirtle","26","2020/2/25","pm7.cJAN_2020_NOEVOLVE","7_11","Squirtle_11","","","","image"
"Wartortle","27","2023/7/3","pm8.cJAN_2020_NOEVOLVE","8_11","Squirtle_11","","","","image"
"Blastoise","28","2023/7/3","pm9.cJAN_2020_NOEVOLVE","9_11","Squirtle_11","","","","image"
"Squirtle","29","2020/7/25","pm7.cSPRING_2020_NOEVOLVE","7_14","Squirtle_14","","","","image"
"Caterpie","30","2018/11/1","pm10","10","Caterpie","","","","image"
"Metapod","31","2018/11/1","pm11","11","Caterpie","","","","image"
"Butterfree","32","2018/11/1","pm12","12","Caterpie","","","","image"
"Butterfree","33","2021/9/21","pm12.cFASHION_2021_NOEVOLVE","12_2021_FASHION","Caterpie_2021_FASHION","","","","image"
"Weedle","34","2020/6/19","pm13","13","Weedle","","","","image"
"Kakuna","35","2020/6/19","pm14","14","Weedle","","","","image"
"Beedrill","36","2020/6/19","pm15","15","Weedle","","","","image"
"Beedrill(M)","37","2020/6/19","pm15.fMEGA","15_51","Weedle","","","","image"
"Pidgey","38","2019/2/26","pm16","16","Pidgey","","","","image"
"Pidgeotto","39","2019/2/26","pm17","17","Pidgey","","","","image"
"Pidgeot","40","2019/2/26","pm18","18","Pidgey","","","","image"
"Pidgeot(M)","41","2019/2/26","pm18.fMEGA","18_51","Pidgey","","","","image"
"Rattata","42","2019/2/26","pm19","19","Rattata","","","","image"
"Raticate","43","2019/2/26","pm20","20","Rattata","","","","image"
"Raticate","44","2019/2/26","pm20.cJAN_2020_NOEVOLVE","20_11","Rattata","","","","image"
"Rattata","45","2019/6/28","pm19.fALOLA","19_61","Rattata_61","","","","image"
"Raticate","46","2019/6/28","pm20.fALOLA","20_61","Rattata_61","","","","image"
"Spearow","47","2021/2/20","pm21","21","Spearow","","","","image"
"Fearow","48","2021/2/20","pm22","22","Spearow","","","","image"
"Ekans","49","2019/7/25","pm23","23","Ekans","","","","image"
"Arbok","50","2019/7/25","pm24","24","Ekans","","","","image"
"Pikachu","51","2017/8/15","pm25","25","Pikachu","","","","image"
"Raichu","52","2017/8/15","pm26","26","Pikachu","","","","image"
"Pikachu","53","2017/2/26","pm25.cANNIVERSARY","25_02","Pikachu_02","","","","image"
"Raichu","54","2017/2/26","pm26.cANNIVERSARY","26_02","Pikachu_02","","","","image"
"Pikachu","55","2017/6/6","pm25.cONE_YEAR_ANNIVERSARY","25_03","Pikachu_03","","","","image"
"Raichu","56","2019/6/6","pm26.cONE_YEAR_ANNIVERSARY","26_03","Pikachu_03","","","","image"
"Pikachu","57","2018/10/5","pm25.cFALL_2018","25_06","Pikachu_06","","","","image"
"Raichu","58","2018/10/5","pm26.cFALL_2018","26_06","Pikachu_06","","","","image"
"Pikachu","59","2017/10/20","pm25.cHALLOWEEN_2017","25_04","Pikachu_04","","","","image"
"Raichu","60","2017/10/20","pm26.cHALLOWEEN_2017","26_04","Pikachu_04","","","","image"
"Pikachu","61","2016/12/25","pm25.cHOLIDAY_2016","25_01","Pikachu_01","","","","image"
"Raichu","62","2016/12/25","pm26.cHOLIDAY_2016","26_01","Pikachu_01","","","","image"
"Pikachu","63","2018/7/5","pm25.cSUMMER_2018","25_05","Pikachu_05","","","","image"
"Raichu","64","2018/7/5","pm26.cSUMMER_2018","26_05","Pikachu_05","","","","image"
"Pikachu","65","2019/2/26","pm25.cNOVEMBER_2018","25_07","Pikachu_07","","","","image"
"Raichu","66","2019/2/26","pm26.cNOVEMBER_2018","26_07","Pikachu_07","","","","image"
"Pikachu","67","2019/12/24","pm25.cWINTER_2018","25_08","Pikachu_08","","","","image"
"Raichu","68","2019/12/24","pm26.cWINTER_2018","26_08","Pikachu_08","","","","image"
"Pikachu","69","2019/7/22","pm25.cMAY_2019_NOEVOLVE","25_10","Pikachu_10","","","","image"
"Pikachu","70","2019/10/17","pm25.fFALL_2019","25_f19","Pikachu_f19","","","","image"
"Raichu","71","2018/11/23","pm26.fALOLA","26_61","Pikachu_61","","","","image"
"Pikachu","72","2020/2/25","pm25.cJAN_2020_NOEVOLVE","25_11","Pikachu_11","","","","image"
"Pikachu","73","2020/3/27","pm25.cSAFARI_2020_NOEVOLVE","25_13","Pikachu_13","","","","image"
"Pikachu","74","2020/4/9","pm25.cAPRIL_2020_NOEVOLVE","25_12","Pikachu_12","","","","image"
"Pikachu","75","2020/5/1","pm25.cKANTO_2020_NOEVOLVE","25_22","Pikachu_22","","","","image"
"Pikachu","76","2020/5/8","pm25.cJOHTO_2020_NOEVOLVE","25_23","Pikachu_23","","","","image"
"Pikachu","77","2020/5/15","pm25.cHOENN_2020_NOEVOLVE","25_24","Pikachu_24","","","","image"
"Pikachu","78","2020/5/22","pm25.cSINNOH_2020_NOEVOLVE","25_25","Pikachu_25","","","","image"
"Pikachu","79","2020/5/22","pm25.fCOSTUME_2020","25_4thY","Pikachu_4thY","","","","image"
"Pikachu","80","2020/10/6","pm25.cCOSTUME_1","25_27","Pikachu_27","","","","image"
"Raichu","81","2020/10/6","pm26.cCOSTUME_1","26_27","Pikachu_27","","","","image"
"Pikachu","82","2020/12/14","pm25.fADVENTURE_HAT_2020","25_m2020","Pikachu_m2020","","","","image"
"Pikachu","83","2020/12/22","pm25.fWINTER_2020","25_winter2020","Pikachu_winter2020","","","","image"
"Pikachu","84","2020/12/29","pm25.cCOSTUME_2","25_28","Pikachu_28","","","","image"
"Raichu","85","2020/12/29","pm26.cCOSTUME_2","26_28","Pikachu_28","","","","image"
"Pikachu","86","2020/12/29","pm25.fVS_2019","25_16","Pikachu_16","","","","image"
"Pikachu","87","2021/7/6","pm25.fFLYING_5TH_ANNIV","25_5thY","Pikachu_5thY","","","","image"
"Pikachu","88","2021/7/17","pm25.cGOFEST_2021_NOEVOLVE","25_47","Pikachu_47","","","","image"
"Pikachu","89","2021/10/15","pm25.cHALLOWEEN_2021_NOEVOLVE","25_21Ha","Pikachu_21Ha","","","","image"
"Pikachu","90","2022/3/19","pm25.fKARIYUSHI","25_KARIYUSHI","Pikachu_KARIYUSHI","","","","image"
